#,Title,Author,Acquired Date,Type
401,Nights When Nothing Happened: A Novel,Simon Han,"March 16, 2022",Purchase
402,The Cabinet,Un-su Kim,"March 6, 2022",Purchase
403,The Borrowed,Chan Ho-Kei,"March 4, 2022",Sample
404,The Feral Detective: A California Desert Noir,Jonathan Lethem,"March 3, 2022",Sample
405,Malibu Rising: A Read with Jenna Pick: A Novel,Taylor Jenkins Reid,"February 26, 2022",Purchase
406,The Arrest: A Novel,Jonathan Lethem,"February 22, 2022",Purchase
407,The Committed (The Sympathizer Book 2),Viet Thanh Nguyen,"February 8, 2022",Purchase
408,Joan Is Okay: A Novel,Weike Wang,"January 31, 2022",Purchase
409,Anthem,Noah Hawley,"January 15, 2022",Purchase
410,The Plotters: A Novel,Un-su Kim,"January 2, 2022",Purchase
411,"The House of Gucci: A True Story of Murder, Madness, Glamour, and Greed",Sara Gay Forden,"December 25, 2021",Purchase
412,Quicksand: A Novel,Malin Persson Giolito,"December 23, 2021",Purchase
413,Beyond All Reasonable Doubt: A Novel,Malin Persson Giolito,"December 13, 2021",Purchase
414,A Carnival of Snackery: Diaries (2003-2020),David Sedaris,"November 27, 2021",Purchase
415,Spring Night,Yeo-sun Kwon,"November 26, 2021",Sample
416,Lemon: A Novel,Kwon Yeo-sun,"November 23, 2021",Purchase
417,Apples Never Fall,Liane Moriarty,"November 11, 2021",Purchase
418,The Judge's List: A Novel (The Whistler Book 2),John Grisham,"November 10, 2021",Purchase
419,Big Shot (Diary of a Wimpy Kid #16),Jeff Kinney,"November 2, 2021",Purchase
420,Better Off Dead: A Jack Reacher Novel,"Lee Child, Andrew Child","October 26, 2021",Purchase
421,Miracle Creek: A Novel,Angie Kim,"October 16, 2021",Purchase
422,Harlem Shuffle: A Novel (The Harlem Trilogy Book 1),Colson Whitehead,"October 3, 2021",Purchase
423,The Chaos Kind,Barry Eisler,"October 1, 2021",Sample
424,The Patient,Jasper DeWitt,"September 25, 2021",Purchase
425,White Ivy: A Read with Jenna Pick,Susie Yang,"September 19, 2021",Purchase
426,The Mysterious Bookshop Presents the Best Mystery Stories of the Year 2021,"Otto Penzler, Lee Child","September 18, 2021",Purchase
427,My Year Abroad: A Novel,Chang-rae Lee,"August 29, 2021",Purchase
428,Afterparties: Stories,Anthony Veasna So,"August 23, 2021",Purchase
429,Radiant Fugitives: A Novel,Nawaaz Ahmed,"August 22, 2021",Sample
430,The Eighth Detective: A Novel,Alex Pavesi,"August 17, 2021",Purchase
431,Leave Society (Vintage Contemporaries),Tao Lin,"August 14, 2021",Purchase
432,There's No Such Thing as an Easy Job,Kikuko Tsumura,"July 27, 2021",Purchase
433,A Separation: A Novel,Katie Kitamura,"July 25, 2021",Sample
434,Intimacies: A Novel,Katie Kitamura,"July 24, 2021",Purchase
435,Bath Haus: A Thriller,P. J. Vernon,"July 17, 2021",Purchase
436,Razorblade Tears: A Novel,S. A. Cosby,"July 14, 2021",Purchase
437,Three Women,Lisa Taddeo,"July 12, 2021",Sample
438,Animal: A Novel,Lisa Taddeo,"July 5, 2021",Purchase
439,The Hollywood Spiral,Paul Neilan,"July 4, 2021",Sample
440,Memoirs and Misinformation: A novel,"Jim Carrey, Dana Vachon","July 4, 2021",Sample
441,After Dark (Vintage International),Haruki Murakami,"July 2, 2021",Purchase
442,The Ninth Metal: First in the Comet Cycle – A Gripping Post-Apocalyptic Sci-Fi Thriller of Midwest Mining and Betrayal,Benjamin Percy,"June 30, 2021",Purchase
443,Spring: A Novel,David Szalay,"June 29, 2021",Sample
444,The Other Black Girl: A Novel,Zakiya Dalila Harris,"June 27, 2021",Purchase
445,How to Kidnap the Rich: A Novel,Rahul Raina,"June 26, 2021",Sample
446,The House We Grew Up In: A Novel,Lisa Jewell,"June 23, 2021",Purchase
447,The Midnight Library: A GMA Book Club Pick: A Novel (The Midnight World),Matt Haig,"June 19, 2021",Sample
448,ESCAPEs,Daniel Tunnard,"June 19, 2021",Purchase
449,An Unwanted Guest: A Novel,Shari Lapena,"June 18, 2021",Sample
450,All That Man Is: A Novel,David Szalay,"June 16, 2021",Purchase
